,Organization Name,latitude,longitude,Organization Name URL,Operating Status,Total Funding Amount Currency (in USD),Estimated Revenue Range
16,ShipHero,40.7169028,-111.8982196,https://www.crunchbase.com/organization/shiphero,Active,50000000,Less than $1M
17,ShipHero,43.8546714,-79.2609723,https://www.crunchbase.com/organization/shiphero,Active,50000000,Less than $1M
18,Diebold Nixdorf,41.2555135,-81.4823051,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
19,Diebold Nixdorf,51.7190886,8.7184817,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
20,Diebold Nixdorf,33.8688619,-84.4693563,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
21,Diebold Nixdorf,36.753768,3.0587561,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
22,Diebold Nixdorf,-33.8340021,151.0871403,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
23,Diebold Nixdorf,48.1836837,16.4139026,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
24,Diebold Nixdorf,50.8901179,4.2610114,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
25,Diebold Nixdorf,50.9339305,3.9620628,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
26,Diebold Nixdorf,-23.5258948,-46.6741803,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
27,Diebold Nixdorf,42.981289,-81.2421598,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
28,Diebold Nixdorf,43.6068788,-79.7330646,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
29,Diebold Nixdorf,31.27922,121.44861,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
30,Diebold Nixdorf,50.0481733,14.3063513,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
31,Diebold Nixdorf,55.6860046,12.3894722,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
32,Diebold Nixdorf,60.2219575,24.7581448,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
33,Diebold Nixdorf,48.781112,2.2111838,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
34,Diebold Nixdorf,52.5327067,13.2684454,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
35,Diebold Nixdorf,38.0868635,23.8003029,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
36,Diebold Nixdorf,22.3530995,114.1245663,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
37,Diebold Nixdorf,47.4164453,19.2418639,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
38,Diebold Nixdorf,17.4350222,78.3840396,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
39,Diebold Nixdorf,19.1557891,72.8553327,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
40,Diebold Nixdorf,-6.2324044,106.8324008,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
41,Diebold Nixdorf,53.2906687,-6.4225307,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
42,Diebold Nixdorf,45.3549261,9.1515289,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
43,Diebold Nixdorf,49.561163,5.9281639,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
44,Diebold Nixdorf,3.1751772,101.6603153,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
45,Diebold Nixdorf,19.4273871,-99.1652376,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
46,Diebold Nixdorf,20.6200893,-100.4135886,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
47,Diebold Nixdorf,33.5938091,-7.6319832,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
48,Diebold Nixdorf,16.7764685,96.1399159,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
49,Diebold Nixdorf,52.0656429,5.0906651,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
50,Diebold Nixdorf,59.9151867,10.8015157,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
51,Diebold Nixdorf,14.559192,121.0175157,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
